Denier,Changeable Heel,Flare Potential,Shoe Warranty,Handle Type,Ball Quality,Bag Warranty,Bag Style,Brunswick Product Line,Fragrance,Particle Load,Performance,Roto Grip Product Line,Durometer,Viz Style,Changeable Sole,Mass Bias Diff,Finish,Storm Product Line,Brand,Ball Color,Bag Size,RG,Perfect Scale,Factory Finish,Release Date,Core Type,Laces/Easy Strap,Shoe Mfg Part #,Ball Sports League,Gender,Differential,Product ID,OTB Style,Bag Mfg Part #,Ball Warranty,name,Shoe Size Capacity,Coverstock,url,Core Name,Holds Shoes,Lane Condition,Breakpoint Shape,Shoe Color,Bowling Hand (Shoes),Coverstock Name,Bag Color
,,"6""+ (High)",,,First Quality,,,,,,Pro Performance[10],,74 on D-Scale,,,0.015,Matte,,Pyramid,Hot Pink/Acid Lime,,2.52,224.1,2000 grit Abralon,03/13/2013,Asymmetric,,,,,0.043,10636,,,2 Year,Pyramid Chosen Path Acid Lime/Pink RETIRED,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/pyramid/10636/chosen-path-acid-limepink-15-only.html,SG 19.5 Asymmetric,,Medium-Heavy,,,,GPS Navigational,
,,"6""+ (High)",,,First Quality,,,,,,Pro Performance[10],,74 on D-Scale,,,0.015,Matte,,Pyramid,Orange/Smoke Grey,,2.52,224.1,2000 grit Abralon,03/14/2013,Asymmetric,,,,,0.043,10637,,,2 Year,Pyramid Chosen Path Orange/Smoke RETIRED,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/pyramid/10637/chosen-path-orangesmoke.html,SG 19.5 Asymmetric,,Medium-Heavy,,,,GPS Navigational,
,,,,,First Quality,,,,,,Performance[4],,,,,,Polished,,Ebonite,Blue/Yellow Pearl,,0.000,162.8,,06/14/2007,,,,,,.025,5467,,,,Ebonite Clash Blue/Yellow Pearl,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/ebonite/5467/clash-blueyellow-pearl.html,Predator,,Medium,Length with Angular Backend,,,Modified Phazed Bomber Reactive,
,,"6""+ (High)",,,First Quality,,,,,,Pro Performance[10],,76 on D-Scale,,,0.015,Polished,,Pyramid,Black/Lime Green,,2.52,228.4,2000 Grit Abralon/Factory Polish,10/23/2014,Asymmetric,,,,,0.043,10812,,,2 Year,Pyramid Chosen Path Pearl Black/Lime Green RETIRED,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/pyramid/10812/chosen-path-pearl-blacklime-green.html,SG 19.5 Asymmetric,,Medium-Heavy,,,,GPS Navigational Pearl,
,,,,,Second,,,,,,,,,,,,Polished,,Columbia 300,Teal/Red/Gold,,2.530,179.0,,,,,,,,,4280,,,,Columbia 300 Chris Barnes Professional X Blem,,Particle,https://www.bowlingball.com/products/bowling-balls/columbia-300/4280/chris-barnes-professional-x-blem.html,,,Medium-Heavy,,,,,
,,,,,First Quality,,,,,,Performance[4],,,,,,Polished,,Ebonite,Turquoise / Purple,,2.530,152.8,,05/28/2008,Asymmetric,,,,,.025,6308,,,,Ebonite Clash Turquoise/Purple,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/ebonite/6308/clash-turquoisepurple.html,Modified Asymetric,,Medium,Length with Angular Backend,,,Modified Phazed Bomber Reactive,
,,,,,First Quality,,,,,,Performance[4],,,,,,Polished,,Hammer,Cobalt Pearl,,2.51,129.9,"800 Abranet, 1000 Abralon, 2000 Abralon, 4000 Abra",07/31/2012,Symmetric,,,,,0.042,10368,,,,Hammer Cobalt Vibe,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/hammer/10368/cobalt-vibe.html,Vibe,,Medium,,,,Violent Reactive Pearl,
,,Low,,,First Quality,,,,,,High Performance[8],,,,,,Matte,,AMF 300,Black,,2.563,177.1,4000 Abralon,07/05/2012,Symmetric,,,,,0.017,10427,,,,AMF 300 Cobra Special Edition,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/amf-300/10427/cobra-special-edition.html,Light Bulb,,Medium-Heavy,,,,F74,
,,High,,,First Quality,,,,,,Pro Performance[10],,,,,0.017,Matte,,Ebonite,Black/Blue/Orange Solid,,2.48,220.10,500/3000 Abralon,1/27/2015,Asymmetric,,,,,0.049,11864,,,1 Year,Ebonite Code of Honor,,Solid Reactive,https://www.bowlingball.com/products/bowling-balls/ebonite/11864/code-of-honor-15-only.html,CB-2 Asymmetric,,Heavy,Strong Overall Hook,,,RCS 5.0,
,,,,,First Quality,,,,,,Advanced Performance[6],,,,,,Polished,,Brunswick,Purple/Red/Light Blue Pearl,,2.522,195.5,,,,,,,,,5112,,,,Brunswick Comfort Zone - bowlingball.com Exclusive International Release,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/brunswick/5112/comfort-zone-bowlingballcom-exclusive-international-release.html,,,Medium,,,,,
,,,,,Second,,,,,,High Performance[8],,,,,,Polished,,Morich,Blue Pearl/Red Pearl,,2.530,175.2,,,,,,,,,7582,,,,Morich Complete Annihilation Revival Blem,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/morich/7582/complete-annihilation-revival-blem.html,,,Medium-Heavy,,,,,
,,,,,First Quality,,,,,,Pro Performance[10],,,,,,Polished,,Ebonite,Purple/Blue/Silver Pearl,,2.50,210.9,,01/28/2008,,,,,,,6099,,,,Ebonite Complete NV,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/ebonite/6099/complete-nv.html,,,Medium-Heavy,,,,,
,,,,,First Quality,,,,,,High Performance[8],,,,,,Polished,,Storm,Scarlet/Tigers Eye/Violet,,2.550,192.8,,,,,,,,,6557,,,,Storm Complete Domination,,Particle,https://www.bowlingball.com/products/bowling-balls/storm/6557/complete-domination-.html,,,Medium-Heavy,,,,,
,,,,,First Quality,,,,,,High Performance[8],,,,,,Polished,,Morich,Blue Pearl/Red Pearl,,2.530,0.0,,,,,,,,,5871,,,,Morich Complete Annihilation II - Overseas Release,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/morich/5871/complete-annihilation-ii-overseas-release.html,,,Medium-Heavy,,,,,
,,,,,First Quality,,,,,,Advanced Performance[6],,,,,,Polished,,Columbia 300,Blue/Red/Silver,,2.56,181.9,2000 Grit Abralon,06/04/2009,Symmetric,,,,,0.035,7135,,,,Columbia 300 Cool Noize,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/columbia-300/7135/cool-noize.html,Ti Boss II,,Medium-Heavy,Strong Mid-Lane,,,Blue/Red/Silver,
,,"4-5""",,,First Quality,,,,,,High Performance[8],,77,,,,Matte,,Lane #1,Destruction Red,,2.557,218.2,Matte,08/03/2010,Symmetric,,,,,.041,8821,,,,Lane #1 ChainSaw Massacre LE,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/lane-1/8821/chainsaw-massacre-le.html,Hybrid Destruction,,Medium-Heavy,,,,Texas Massacre,
,,,,,First Quality,,,,,,Entry Performance[2],,,,,,Polished,,Brunswick,,,0.000,5.0,,,,,,,,,5281,,,,Brunswick Cosmic Urethane Drilled House Ball Assorted Colors,,Plastic,https://www.bowlingball.com/products/bowling-balls/brunswick/5281/cosmic-urethane-drilled-house-ball-assorted-colors.html,,,Dry,,,,,
,,,,,First Quality,,,,,,High Performance[8],,,,,,Matte,,Motiv,Black Smoke,,2.47,215.7,3500 Grit Sanded,02/14/2014,Symmetric,,,,,0.056,11340,,,1 Year,Motiv Covert Revolt,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/motiv/11340/covert-revolt.html,Vanquish,,Medium-Heavy,,,,Turmoil HFS,
,,,,,First Quality,,,Advanced Performance,,,Advanced Performance[6],,76-78,,,,Sanded,,Brunswick,Copper / Blue / Ivory,,2.488,172.9,800-grit wet sand,06/23/2008,Symmetric,,,,,0.0.43,6311,,,,Brunswick Copperhead,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/brunswick/6311/copperhead.html,Multi-Sided Rocket Core System,,Medium-Heavy,60,,,PowrKoil 18,
,,,,,First Quality,,,,,,High Performance[8],,,,,0.007,Matte,,Lane #1,Silver,,2.546,214.4,nEat (1500 Grit),,Asymmetric,,,,,0.053,11156,,,,Lane #1 Crank,,Particle,https://www.bowlingball.com/products/bowling-balls/lane-1/11156/crank.html,Warped A/S Patented Diamond,,Medium-Heavy,,,,Pure Explosion Particle Pearl,
,,Medium,,,First Quality,,,,,,Pro Performance[10],,,,,.010,Matte,,Morich,Purple Pearl,,2.534,211.5,2000 SiaAir,11/15/2009,Asymmetric,,,,,.042,7593,,,,Morich Craze,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/morich/7593/craze.html,Awakening,,Medium-Heavy,,,,Vigor Pearl Reactive,
,,"3-4""",,,First Quality,,,,,,,,,,,,Polished,,900 Global,Purple Pearl,,2.519,161.2,600 Grit Sand with 2000 Grit polish,10/01/2007,,,,,,,6919,,,,900 Global Creature,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/900-global/6919/creature.html,,,Medium,Roll & Arc,,,S40â„¢,
,,,,,First Quality,,,,,,Pro Performance[10],,,,,0.016,Polished,,Columbia 300,White/Orange/Purple,,2.50,218.9,"500, 500, 500 Abralon, 1500 Abranet Soft, Factory",01/07/2014,Asymmetric,,,,,0.054,11318,,,1 Year,Columbia 300 Crazy Antics,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/columbia-300/11318/crazy-antics.html,Hi-Dynamix,,Medium,,,,AR300 Flip,
,,"3-4""",,,First Quality,,,,,,Advanced Performance[6],,,,,,Polished,,900 Global,Navy Blue/Silver,,2.519,156.4,600 Grit Sand with 2000 Grit polish,03/01/2008,,,,,,0.032,6920,,,,900 Global Creature Pearl,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/900-global/6920/creature-pearl.html,,,Medium,Roll & Arc,,,S40â„¢,
,,7+ Inches,,,First Quality,,,,,,Pro Performance[10],HP4,,,,0.013,Matte,,Roto Grip,Cherry/White/Obsidian,,2.49,222.8,4000 Grit Abralon,08/09/2011,Asymmetric,,,,,0.058,9526,,,,Roto Grip Critical Theory,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/roto-grip/9526/critical-theory-.html,Triliptic,,Heavy,,,,Insight Pearl Reactive,
,,High,,,First Quality,,,,,,High Performance[8],HP3,,,,0.013,Matte,,Roto Grip,Purple and Green Pearl/Grey Solid,,2.49,195.3,3000 Grit Pad,12/8/2015,Asymmetric,,,,,0.058,12424,,,1 Year,Roto Grip Critical,,Hybrid Reactive,https://www.bowlingball.com/products/bowling-balls/roto-grip/12424/critical.html,Triliptic,,Medium-Heavy,Length with Smooth Strong Backend,,,67MH Hybrid,
,,"5 - 6"" (High)",,,First Quality,,,,Caramel,,Advanced Performance[6],,,,,,Polished,Thunder,Storm,Purple Solid/Blue Pearl,,2.56,193.9,1500-grit Polished,02/07/2012,Symmetric,,,,,0.052,10143,,,,Storm Crossroad,,Hybrid Reactive,https://www.bowlingball.com/products/bowling-balls/storm/10143/crossroad.html,Inverted Fe³ Technology,,Medium,,,,R2S Hybrid Reactive,
,,Low,,,First Quality,,,,,,Entry Performance[2],,,,,,Polished,,Ebonite,Blue/Green,,,85.00,,,Symmetric,,,,,,12212,,,1 Year,Ebonite Crush/R Blue/Green,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/ebonite/12212/crushr-bluegreen.html,Pancake,,Dry,Length and Control,,,Super Tack,
,,,,,First Quality,,,,,,Polyester[0],Crown,82,,,,High Polish,,Roto Grip,Grey with Graphics - Blue tint in light,,2.700,5.0,,08/06/2009,,,,,,,7336,,,,Roto Grip Crown Clear Polyester,,Plastic,https://www.bowlingball.com/products/bowling-balls/roto-grip/7336/crown-clear-polyester-.html,,,Dry,,,,,
,,Low,,,First Quality,,,,,,Entry Performance[2],,,,,,Polished,,Ebonite,Royal Blue/Yellow,,2.65,85.00,,,Symmetric,,,,,0.020,12211,,,1 Year,Ebonite Crush/R Royal Blue/Yellow,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/ebonite/12211/crushr-royal-blueyellow.html,Pancake,,Dry,Length and Control,,,Super Tack,
,,"6"" Plus (High)",,,First Quality,,,,Pomegranate,,Pro Performance[10],,73-75 Rex D-Scale,,,0.017,Matte,Premier,Storm,Purple Pearl/White Pearl/Black,,2.50,232.7,3000 grit pad,10/14/2014,Asymmetric,,,,,0.052,11709,,,1 Year,Storm Crux,,Hybrid Reactive,https://www.bowlingball.com/products/bowling-balls/storm/11709/crux.html,Catalyst Core,,Medium-Heavy,,,,ERG Hybrid Reactive,
,,7 + Inches (High),,,Second,,,,,,Pro Performance[10],Crown,73 - 75 Rex D-scale,,,0.018,Matte,,Roto Grip,Copper Pearl / Silver Pearl / Black Solid,,2.520,201.1,2000 Abralon,,Asymmetric,,,,,0.056,7346,,,,Roto Grip Cubic Cell 2nd,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/roto-grip/7346/cubic-cell-2nd.html,Nucleusâ„¢,,Medium-Heavy,,,,Cytoplasmicâ„¢ Solid Reactive,
,,Low,,,First Quality,,,,,,Entry Performance[2],,,,,,Polished,,Ebonite,Red/Orange/Bronze,,2.65,85.00,,,Symmetric,,,,,0.020,13337,,,,Ebonite Crush/R Combo - Blazing Fire,,Pearl Reactive,https://www.bowlingball.com/products/accessories/ebonite/13337/crushr-combo-blazing-fire.html,Pancake,,Dry,Length and Control,,,Super Tack,
,,7 + Inches (High),,,First Quality,,,,,,Pro Performance[10],,73 - 75 Rex D-scale,,,0.018,Matte,,Roto Grip,Copper Pearl / Silver Pearl / Black Solid,,2.520,201.1,2000 Abralon,,,,,,,0.056,7359,,,,Roto Grip Cubic Cell Pro Pin,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/roto-grip/7359/cubic-cell-pro-pin.html,Nucleusâ„¢,,Medium-Heavy,,,,Cytoplasmicâ„¢ Solid Reactive,
,,High,,,First Quality,,,,,,Performance[4],,,,,,Polished,,Ebonite,Navy/Pink/Gold,,2.53,167.2,"4000 Abralon, Polished with Powerhouse Factory Fin",08/01/2011,Symmetric,,,,,.053,9501,,,,Ebonite Cyclone Navy/Pink/Gold,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/ebonite/9501/cyclone-navypinkgold.html,Cyclone Torque,,Medium-Dry,Length with Strong Backend Reaction,,,GB 10.7,
,,High,,,First Quality,,,,,,Performance[4],,,,,,Polished,,Ebonite,Black/Red/Yellow,,2.53,167.2,"4000 Abralon, Polished",05/27/2014,Symmetric,,,,,0.053,11463,,,1 Year,Ebonite Cyclone Black/Red/Yellow,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/ebonite/11463/cyclone-blackredyellow.html,Cyclone Torq,,Medium-Dry,,,,GB 10.7,
,,High,,,First Quality,,,,,,Performance[4],,,,,,Polished,,Ebonite,"Yellow, Turquoise",,2.53,,"4000 Abralon, Polished with Powerhouse Factory Fin",10/01/2013,Symmetric,,,,,.053,11237,,,1 Year,Ebonite Cyclone Yellow/Turquoise,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/ebonite/11237/cyclone-yellowturquoise.html,Cyclone Torq,,Medium-Dry,Length with Strong Backend,,,GB 10.7,
,,,,,First Quality,,,,,,Pro Performance[10],,,,,,Sanded,,Columbia 300,"Black, Super Blue, Ultra Violet",,2.50,209.9,"500, 1000, 2000, 2000 Abralon",01/05/2012,Asymmetric,,,,,0.052,10111,,,,Columbia 300 Dark Encounter,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/columbia-300/10111/dark-encounter.html,Encounter,,Medium-Heavy,HOOK,,,Elastin 7.5 Solid,
,,7 + Inches (High),,,First Quality,,,,,,Pro Performance[10],International,73 - 75,,,0.018,Matte,,Roto Grip,Copper Pearl / Silver Pearl / Black Solid,,2.520,205.5,2000 Abralon,,Asymmetric,,,,,0.056,7405,,,,Roto Grip Cubic Cell - Overseas Release,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/roto-grip/7405/cubic-cell-overseas-release.html,Nucleus,,Medium-Heavy,,,,Cytoplasmic Solid Reactive,
,,,,,First Quality,,,Advanced Performance,,,Advanced Performance[6],,76-78,,,,Polished,,Brunswick,Red/Blue/Violet Pearl,,2.616,184.9,"500 Siaair Micro Pad, Rough Buff;High Gloss Finish",11/08/2010,Symmetric,,,,,.045,8941,,,1 Year,Brunswick Damage,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/brunswick/8941/damage.html,,,Medium-Dry,90,,,PowerKoil 18,
,,"5-6"" (High)",,,First Quality,,,,,,High Performance[8],,,,,,Matte,,Pyramid,Black/Black Hybrid,,2.53,202.90,2000 Grit Abralon,03/03/2015,Symmetric,,,,,0.050,11551,,,2 Year,Pyramid Dark Path 19.5 Hybrid RETIRED,,Hybrid Reactive,https://www.bowlingball.com/products/bowling-balls/pyramid/11551/dark-path-195-hybrid-retired.html,SG 19.5 Symmetric,,Medium-Heavy,Controllable Continuation,,,GPS Navigational Hybrid,
,,"5"" Plus (High)",,,First Quality,,,,,,Advanced Performance[6],,,,,,Matte,,Storm,Black,,2.550,178.0,,,,,,,,,6673,,,,Storm Dark Thunder Solid,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/storm/6673/dark-thunder-solid.html,Multi-Density with FE2 Technology,,Medium-Heavy,,,,MONSOONâ„¢ Reactive,
,,"6""+ (High)",,,First Quality,,,,,,High Performance[8],,75 on D-Scale,,,0.018,Matte,,Pyramid,Black Solid/Red Pearl,,2.52,204.7,2000 grit Abralon,10/21/2013,Asymmetric,,,,,0.043,10813,,,2 Year,Pyramid Dark Path Hybrid RETIRED,,Hybrid Reactive,https://www.bowlingball.com/products/bowling-balls/pyramid/10813/dark-path-hybrid-retired.html,SG 19.5 Asymmetric,,Medium,,,,GPS Navigational Hybrid,
,,,,,First Quality,,,,,,Advanced Performance[6],,,,,,Sanded,,Storm,Black/Grey Pearl,,2.480,148.3,,,,,,,,,5820,,,,Storm Dark Thunder Pearl Pro Pin,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/storm/5820/dark-thunder-pearl-pro-pin.html,,,Medium-Heavy,,,,,
,,High,,,First Quality,,,,,,Performance[4],,,,,,Polished,,Ebonite,Green/Gold/Silver,,2.53,167.2,"4000 Abralon, Polished with Powerhouse Factory Fin",05/01/2012,Symmetric,,,,,0.053,10253,,,,Ebonite Cyclone Green/Gold/Silver,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/ebonite/10253/cyclone-greengoldsilver.html,Cyclone Torque,,Medium-Dry,Length with Strong Backend Reaction,,,GB 10.7,
,,"4"" +",,,First Quality,,,,,Light,Pro Performance[10],,,,,,Polished,,Lane #1,Black/Berry Pearl,,2.467,221.9,2000-grit Abralon + 2X Compound 1X Fine Polish,01/25/2010,Asymmetric,,,,,.055,7825,,,1 Year,Lane #1 Curve,,Particle,https://www.bowlingball.com/products/bowling-balls/lane-1/7825/curve.html,Back Cut Asymmetric Patented Diamond,,Heavy,,,,Pure Explosion 9.5 Light Load Particle,
,,3” - 4” (Medium),,,First Quality,,,,,,Advanced Performance[6],Shield,75 - 78,,,,Polished,,Roto Grip,Dark Blue / Purple,,2.580,168.4,1500 Polished,02/24/2010,Symmetric,,,,,.040,8014,,,,Roto Grip Dark Star,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/roto-grip/8014/dark-star.html,Photon Core,,Medium,,,,Ultimate Vision Pearl Reactive,
,,High,,,First Quality,,,,,,Pro Performance[10],,,,,,Matte,,AMF 300,Midnight,,2.479,215.8,neaT (4000 Grit),,Symmetric,,,,,0.054,11412,,,1 Year,AMF 300 Darkness,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/amf-300/11412/darkness.html,Dark Tower,,Medium-Heavy,,,,F77 Solid,
,,High,,,First Quality,,,,,,Performance[4],,,,,,Polished,,Ebonite,Black/Gold/Silver,,2.53,167.2,"4000 Abralon, Polished with Powerhouse Factory Fin",,Symmetric,,,,,0.053,11291,,,,Ebonite Cyclone Performance Ball/Bag/Accessories Package,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/ebonite/11291/cyclone-performance-ballbagaccessories-package.html,Cyclone Torque,,Medium-Dry,Length with Strong Backend Reaction,,,GB 10.7,
,,High,,,First Quality,,,,,,Performance[4],,,,,,Polished,,Ebonite,Purple/Orange/Yellow,,2.53,167.2,"4000 Abralon, Polished with Powerhouse Factory Fin",08/01/2011,Symmetric,,,,,.053,9502,,,,Ebonite Cyclone Purple/Orange/Yellow,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/ebonite/9502/cyclone-purpleorangeyellow.html,Cyclone Torque,,Medium-Dry,Length with Strong Backend Reaction,,,GB 10.7,
,,,,,First Quality,,,,,,Pro Performance[10],,,,,0.008,Polished,,Hammer,Red/Orange/Yellow,,2.48,226.8,500/1000/2000/4000 Abralon w/ Clean N,02/11/2014,Asymmetric,,,,,0.054,11361,,,3 Year,Hammer Deadly Aim,,Hybrid Reactive,https://www.bowlingball.com/products/bowling-balls/hammer/11361/deadly-aim.html,Dead Center Core,,Heavy,,,,Primer Reactive Hybrid,
,,,,,First Quality,,,,,,Advanced Performance[6],,,,,,Polished,,Brunswick,Black,,2.608,175.3,,,,,,,,,6143,,,,Brunswick Danger Zone,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/brunswick/6143/danger-zone.html,,,Medium-Heavy,,,,,
,,7+ (High),,,First Quality,,,,,,Pro Performance[10],Royal,,,,0.017,Matte,,Roto Grip,Blue/Purple/Black,,2.49,223.95,3000 Grit Abralon,01/10/2012,Asymmetric,,,,,0.054,10110,,,,Roto Grip Defiant,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/roto-grip/10110/defiant.html,Paragon™,,Heavy,,,,MicroBite™ Solid,
,,7+ Inches (High),,,First Quality,,,,,,Pro Performance[10],HP4,73-75 on D-Scale,,,0.017,Polished,,Roto Grip,Red/Black/Electric Blue,,2.49,216.47,1500 Grit Polished,07/10/2012,Asymmetric,,,,,0.054,10354,,,,Roto Grip Defiant Edge,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/roto-grip/10354/defiant-edge.html,Paragon (14-16) Triliptic (12-13),,Medium-Heavy,,,,MicroBite Pearl Reactive,
,,"7+"" (High)",,,First Quality,,,,,,Pro Performance[10],HP4,73-75 on D-Scale,,,0.017,Matte,,Roto Grip,Gold & Green Pearl/Purple Solid,,2.49,219.5,4000-Grit Abralon,01/08/2013,Asymmetric,,,,,0.054,10675,,,,Roto Grip Defiant Soul,,Hybrid Reactive,https://www.bowlingball.com/products/bowling-balls/roto-grip/10675/defiant-soul.html,Paragon,,Heavy,,,,77H Hybrid Reactive,
,,"6"" (Medium-High)",,,First Quality,,,,,,High Performance[8],HP3,73-75 on D-Scale,,,,Polished,,Roto Grip,Green Pearl/White Pearl,,2.50,191.7,1500-Grit Polished,08/13/2013,Symmetric,,,,,0.043,10837,,,,Roto Grip Deranged,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/roto-grip/10837/deranged.html,Middle Roll 70,,Medium,,,,61MH Pearl Reactive,
,,low,,,First Quality,,,,,,Performance[4],,,,,n/a,Polished,,900 Global,Copper/Royal Blue,,2.61,149.2,Polished,07/03/2013,Symmetric,,,,,0.026,11020,,,,900 Global Desert Hook Copper/Royal Blue,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/900-global/11020/desert-hook-copperroyal-blue.html,,,Dry,,,,S30 Pearl,
,,,,,,,,,,,,,,,,,,,900 Global,,,,,,,,,,,,,11264,,,,900 Global Desert Hook Copper/Royal Blue 2nd,,,https://www.bowlingball.com/products/bowling-balls/900-global/11264/desert-hook-copperroyal-blue-2nd.html,,,,,,,,
,,,,,First Quality,,,,,,Polyester[0],,,,,,High Polish,,OTB,Googlehead,,,5.0,,,,,,,,,12177,Despicable Me,,,OTB Despicable Me Googlehead,,Plastic,https://www.bowlingball.com/products/bowling-balls/otb/12177/despicable-me-googlehead.html,,,,,,,,
,,,,,First Quality,,,,,,Polyester[0],,,,,,High Polish,,OTB,Gru,,,5.0,,,,,,,,,12173,Despicable Me,,,OTB Despicable Me Gru,,Plastic,https://www.bowlingball.com/products/bowling-balls/otb/12173/despicable-me-gru.html,,,Dry,,,,,
,,,,,First Quality,,,,,,Advanced Performance[6],,,,,,Matte,,Roto Grip,Gold/Violet Blue/Midnight Blue,,2.48,182.9,,,,,,,,,6233,,,,Roto Grip Destiny,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/roto-grip/6233/destiny.html,,,Heavy,,,,,
,,,,,First Quality,,,,,,Polyester[0],,,,,,High Polish,,Viz-A-Ball,Detroit Pistons,,0.000,5.0,,09/15/2006,,,,,,,4655,,,1 Year,Viz-A-Ball Detroit Pistons,,Plastic,https://www.bowlingball.com/products/bowling-balls/viz-a-ball/4655/detroit-pistons-16-only.html,,,Dry,,,,,
,,,,,First Quality,,,,,,Polyester[0],,,,,,High Polish,,OTB,Math,,,5.0,,,,,,,,,12175,Despicable Me,,,OTB Despicable Me Math,,Plastic,https://www.bowlingball.com/products/bowling-balls/otb/12175/despicable-me-math.html,,,Dry,,,,,
,,"4-5"" (Medium)",,,First Quality,,,,,,Advanced Performance[6],HP2,73-75,,,,Sanded,,Roto Grip,Black/Yellow,,2.56,176.8,3000-Grit Pad,08/11/2015,Symmetric,,,,,0.034,12204,,,1 Year,Roto Grip Devour,,Solid Reactive,https://www.bowlingball.com/products/bowling-balls/roto-grip/12204/devour-11-16-only.html,Late Roll 56,,Medium-Heavy,Even Rolling,,,54MH,
,,,,,First Quality,,,,,,Advanced Performance[6],,,,,,Sanded,,Roto Grip,Crimson/Steel/Charcoal,,2.480,176.5,,,,,,,,,5819,,,,Roto Grip Destiny Pro Pin,,Particle,https://www.bowlingball.com/products/bowling-balls/roto-grip/5819/destiny-pro-pin.html,,,Heavy,,,,,
,,,,,First Quality,,,Advanced Performance,,,Advanced Performance[6],,76-78,,,,Matte,,Brunswick,Black/Yellow,,2.539,189.8,"2,000 Siaair Micro Pad",11/09/2009,Symmetric,,,,,.043,7587,,,,Brunswick Diamondback,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/brunswick/7587/diamondback.html,Rocket Core,,Medium-Heavy,80,,,Activator Coverstock,
,,,,,First Quality,,,,,,,,,,,,Polished,,Hammer,Navy/Red,,2.440,0.0,,,,,,,,,5345,,,,Hammer Diesel Reactive Pearl,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/hammer/5345/diesel-reactive-pearl.html,,,Medium,,,,,
,,High,,,First Quality,,,,,,High Performance[8],,,,,,Polished,,DV8,Black/Dark Red,,2.562,215.5,"500 Siaair, Royal Compound",10/27/2015,Symmetric,,,,,0.050,12404,,,2 Year,DV8 Deviant,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/dv8/12404/deviant.html,Deviant Medium RG Symmetric,,Medium-Heavy,All Purpose with Versatility,,,Composite V Solid,
,,5 - 6 (High),,,First Quality,,,,Fruit Punch,,High Performance[8],,73-75,,,,Matte,Master,Storm,Red/Magenta/Black,,2.48,204.5,2000-grit Abralon,06/24/2008,Symmetric,,,,,0.048,6313,,,,Storm Dimension,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/storm/6313/dimension.html,Continuum Core,,Medium-Heavy,,,,R2X Solid Reactive,
,,5â€ - 6â€ (High),,,First Quality,,,,Fruit Punch,,High Performance[8],,73-75,,,,Matte,,Storm,Turquoise / Navy / Black,,2.52,205.5,2000-grit Abralonâ„¢,,,,,,,0.048,6945,,,,Storm Dimension X-Blem,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/storm/6945/dimension-x-blem.html,Continuumâ„¢ Core,,Medium-Heavy,,,,R2Xâ„¢ Solid Reactive,
